Transaction_ID,Customer_ID,Amount,Date,Status,Branch_ID,Branch_Name,City,Payment_Mode,Merchant_Name,Product_Category
a3ba9a88c32c41e03f4f2683ddb89df8,b36be8ee214a45fe41d02c4b8a6a425a,642.01,2023-11-04,Successful,AMB445,Ambattur,Chennai,Net Banking,Merchant_16,Electronics
2082425fbfbbb1ece001fe3651fb6445,8fcd5ebf421baddc3354b77fdff25920,982.96,2023-04-11,Successful,AMB881,Ambattur,Chennai,Net Banking,Merchant_11,Health
740b455d3af34e276197c1ecbde38946,234bfa0ae31374a35d03762fc8e24917,589.25,2023-10-20,Successful,AMB392,Ambattur,Chennai,Debit,Merchant_49,Clothing
e1c85d74b087f75429d11042531de021,0702f9fba217d8d32a20594cd14a50ec,254.77,2023-04-15,Failed,AMB179,Ambattur,Chennai,Credit,Merchant_48,Clothing
990782052487f30a5d37539f3fb95e62,fd8fdb6d6f3a74bef3c825e5c89474ec,665.34,2023-02-16,Successful,AMB544,Ambattur,Chennai,Net Banking,Merchant_49,Health
9b0c1118fc0f4d2771027bedd656cb03,4d7ede093779879efc80e9e46f36eac4,73.36,2023-08-16,Successful,AMB461,Ambattur,Chennai,Net Banking,Merchant_70,Health
5fbf464ad67abba78d9df9fabc9492c3,513a6e9ac58bc557989ef16a2481a577,406.96,2023-11-23,Successful,AMB709,Ambattur,Chennai,Debit,Merchant_90,Electronics
156d81c53d607beda0ef92e0d90c8dba,9d6b89e18b8bf70e86ad627dfeb49771,682.68,2023-01-21,Successful,AMB348,Ambattur,Chennai,Credit,Merchant_39,Electronics
ff61e73425b59d8e7afaff4aba087e08,b079073bab988318e78158e3ee7d3ff2,175.34,2023-11-30,Failed,AMB915,Ambattur,Chennai,Credit,Merchant_10,Clothing
618696cd6a52b44a151f3ac77ef27f37,2a50c38a689074f4a08b3d93f825afc9,77.18,2023-07-02,Failed,AMB384,Ambattur,Chennai,Net Banking,Merchant_93,Health
693b487a2a4fb8e8e5b192f1eae5d3ce,9ef13c1d2ce1b87eff339ee7422325b5,535.79,2023-10-20,Successful,AMB493,Ambattur,Chennai,Net Banking,Merchant_28,Groceries
