Transaction_ID,Customer_ID,Amount,Date,Status,Branch_ID,Branch_Name,City,Payment_Mode,Merchant_Name,Product_Category
0b210f5a8ef77523abc3352139dbfcdf,6caf711741ad2a5274b5f32dd89bbe22,660.75,2023-12-10,Failed,MG 654,MG Road,Bangalore,Net Banking,Merchant_76,Electronics
0b1e2454af2144af5574bfb5e9caec03,a4afb858874e493565e907c1957cc7ca,619.1,2023-10-25,Successful,MG 479,MG Road,Bangalore,UPI,Merchant_5,Electronics
927d4af8d607b832841f72f3668506cc,6231512f54f5a06a66c63052d41ad753,577.44,2023-06-26,Successful,MG 760,MG Road,Bangalore,Net Banking,Merchant_65,Electronics
e4454f7ecbaccab14559b809cde40e16,b348675917b59ff8ecd158638e84bc00,839.96,2023-04-04,Failed,MG 641,MG Road,Bangalore,Net Banking,Merchant_64,Electronics
a853c55a9337939f2f228ca0bb6f6875,73e53620f3197e09f94924501819bd6e,926.72,2023-03-16,Failed,MG 676,MG Road,Bangalore,Credit,Merchant_30,Clothing
3308f1f73d1e43dc61d2569a24448cdb,2f64eda7a9991b46dd260b35ff37a467,32.73,2023-06-09,Successful,MG 789,MG Road,Bangalore,Debit,Merchant_32,Groceries
640d1a7a1c16a3b72b40a3e1600c863d,cefdf32250d89eae9e72ef07d8079272,163.9,2023-09-08,Failed,MG 164,MG Road,Bangalore,Credit,Merchant_76,Electronics
6b87358d2f7f00555d9c63463ca14e42,c0991e7c0ffc43da2f82ef344d8fb3af,777.44,2023-04-27,Successful,MG 223,MG Road,Bangalore,Net Banking,Merchant_88,Electronics
40987073cb341fcb6ec9c4cab1bb4b9e,b6836f1312732030f27a6d5b0093d536,749.43,2023-11-15,Failed,MG 793,MG Road,Bangalore,UPI,Merchant_17,Groceries
8cc782fea985f3d04bf4884262c662ce,7d37145991da325e366c67bbc2fb5c84,957.74,2023-03-06,Failed,MG 389,MG Road,Bangalore,Credit,Merchant_31,Groceries
6ea5e1d75910402051862e31ccfdc05e,961b796e21e86749bb089aceb41b8972,477.32,2023-06-06,Successful,MG 339,MG Road,Bangalore,Net Banking,Merchant_84,Clothing
d59017a460dcd1af30f7ecbcf5150526,c32a7479dbfeb60ce92758577145f3e5,116.9,2023-08-28,Successful,MG 362,MG Road,Bangalore,Debit,Merchant_18,Health
6cdab961886df09244b9103b7f0a160e,d2e5aa97b7b84b98eeee84309d745713,912.88,2023-11-16,Failed,MG 351,MG Road,Bangalore,Credit,Merchant_28,Health
f08a54189f8e54e80a9dfdcc0a5a7399,196a6f7c04b73284c554f6dfc0744418,446.28,2023-09-10,Failed,MG 993,MG Road,Bangalore,Net Banking,Merchant_36,Groceries
c91e8466bd50c15838f3061ae112ef80,954f13b15bf9d70ec3981f4769f96633,47.54,2023-02-26,Successful,MG 432,MG Road,Bangalore,Debit,Merchant_70,Electronics
6bfb972e9318226d98e73d56363527c3,f684b994577aaa59f6bd0c094da56de3,537.5,2023-11-05,Successful,MG 181,MG Road,Bangalore,Net Banking,Merchant_36,Groceries
f18bd48afcb9c34b9c86bf60041b4ced,ce18239dc1d276b72a247b3f5c62ef6b,36.96,2023-01-17,Successful,MG 758,MG Road,Bangalore,Credit,Merchant_38,Groceries
0fd4911d66a16c82495d295ba1869b6a,943a4130cc605081546f1d4daf3ea008,468.34,2023-09-21,Failed,MG 166,MG Road,Bangalore,Credit,Merchant_78,Health
